Sequence,Company,City,Province,Year,record
157,\u65B0\u56E2\u7ED3\u6DB2\u538B\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
158,\u5B81\u664B\u53BF\u5BCC\u5229\u8FBE\u98DF\u54C1\u5382,\u90A2\u53F0,\u6CB3\u5317,2015,1
159,\u6CB3\u5317\u6DA6\u5174\u670D\u88C5\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
160,\u6CB3\u5317\u9E64\u9E9F\u725B\u4ED4\u670D\u9970\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
161,\u5B81\u664B\u53BF\u946B\u4E00\u9E23\u5236\u8863\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
162,\u5B81\u664B\u5408\u529B\u725B\u4ED4\u5236\u8863\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
163,\u91D1\u9F99\u76DB\u4E16\u7535\u7EBF\u7535\u7F06\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
164,\u5929\u6D25\u5E02\u5F18\u6CF0\u4F1F\u4E1A\u7EBF\u7F06\u6709\u9650\u516C\u53F8\u5206\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
165,\u90A2\u53F0\u5E02\u519B\u71D5\u7535\u7EBF\u7535\u7F06\u5382,\u90A2\u53F0,\u6CB3\u5317,2015,1
166,\u6CB3\u5317\u65AF\u8FBE\u5C14\u5236\u8863\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
167,\u6CB3\u5317\u4F17\u946B\u5236\u8863\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
168,\u5B81\u664B\u53BF\u817E\u946B\u670D\u88C5\u52A0\u5DE5\u5382,\u90A2\u53F0,\u6CB3\u5317,2017,3
169,\u6CB3\u5317\u94ED\u4E16\u5236\u8863\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2017,2
170,\u90A2\u53F0\u9F99\u6CCA\u7EBF\u7F06\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
171,\u6CB3\u5317\u8FEA\u6069\u7279\u5236\u8863\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2017,2
172,\u6B63\u5DE5\u7EBF\u7F06\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
173,\u4F70\u6C47\u7535\u7F06\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
174,\u6CB3\u5317\u8D5B\u8D85\u7EBF\u7F06\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
175,\u9EC4\u6D77\u7EBF\u7F06\u5236\u9020\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
176,\u5B81\u664B\u53BF\u798F\u5E05\u670D\u88C5\u5382,\u90A2\u53F0,\u6CB3\u5317,2015,1
177,\u5B81\u664B\u53BF\u6C5F\u95F5\u6E90\u670D\u88C5\u5382,\u90A2\u53F0,\u6CB3\u5317,2015,1
178,\u5B81\u664B\u53BF\u5F6D\u6D9B\u5236\u8863\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
179,\u5B81\u664B\u53BF\u6B63\u5B87\u670D\u88C5\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
180,\u5B81\u664B\u53BF\u5174\u6052\u670D\u88C5\u5382,\u90A2\u53F0,\u6CB3\u5317,2015,1
